frame.len,tcp.srcport,tcp.dstport,ip.proto,tcp.len,tcp.window_size,frame.time_delta,label
1294,,,17,,,0.000001309,0
1294,,,17,,,0.000000292,0
168,,,17,,,0.000000165,0
68,,,17,,,0.000000152,0
80,,,17,,,0.002483921,0
70,,,17,,,0.042651038,0
860,,,17,,,0.644327077,0
74,,,17,,,0.076748959,0
74,,,17,,,0.001142188,0
997,,,17,,,0.01725544,0
254,,,17,,,0.000001247,0
79,,,17,,,0.011943301,0
70,,,17,,,0.093845786,0
75,,,17,,,0.753810231,0
75,,,17,,,0.000296563,0
75,,,17,,,0.000014084,0
132,,,17,,,0.013799164,0
358,,,17,,,0.000001188,0
346,,,17,,,0.000000306,0
74,40760,443,6,0,64240,0.003545626,0
74,40772,443,6,0,64240,0.001738903,0
60,443,40772,6,0,64240,0.030418776,0
60,443,40760,6,0,64240,0.000001347,0
54,40772,443,6,0,64240,0.000190548,0
54,40760,443,6,0,64240,0.000207393,0
1954,40760,443,6,1900,64240,0.012275361,0
60,443,40760,6,0,64240,0.002892664,0
60,443,40760,6,0,64240,0.000001359,0
1954,40772,443,6,1900,64240,0.005960202,0
60,443,40772,6,0,64240,0.001082566,0
60,443,40772,6,0,64240,0.000001228,0
197,52132,443,6,143,65535,0.000219062,0
60,443,52132,6,0,64240,0.000761144,0
1755,443,52132,6,1701,64240,0.030277314,0
54,52132,443,6,0,65535,0.000112457,0
3972,443,40760,6,3918,64240,0.017711887,0
54,40760,443,6,0,65535,0.000089181,0
1466,443,40772,6,1412,64240,0.024918968,0
54,40772,443,6,0,65535,0.000076888,0
2560,443,40772,6,2506,64240,0.037750834,0
54,40772,443,6,0,65535,0.000082125,0
118,40760,443,6,64,65535,0.031655833,0
60,443,40760,6,0,64240,0.000927241,0
118,40772,443,6,64,65535,0.008493418,0
60,443,40772,6,0,64240,0.001078958,0
670,443,40760,6,616,64240,0.010606685,0
54,40760,443,6,0,65535,0.000094937,0
670,443,40772,6,616,64240,0.012322257,0
146,40760,443,6,92,65535,0.000067975,0
365,40760,443,6,311,65535,0.000304883,0
163,40772,443,6,109,65535,0.000347563,0
60,443,40760,6,0,64240,0.001683517,0
60,443,40760,6,0,64240,0.000001171,0
60,443,40772,6,0,64240,0.000000204,0
85,443,40772,6,31,64240,0.016858318,0
85,443,40760,6,31,64240,0.000000937,0
85,40760,443,6,31,65535,0.016765179,0
60,443,40760,6,0,64240,0.001308175,0
3458,443,40760,6,3404,64240,0.000876134,0
4290,443,40760,6,4236,64240,0.000000889,0
1466,443,40760,6,1412,64240,0.000000183,0
54,40760,443,6,0,65535,0.000071327,0
54,40760,443,6,0,65535,0.001688789,0
7114,443,40760,6,7060,64240,0.009800408,0
8526,443,40760,6,8472,64240,0.000000794,0
1466,443,40760,6,1412,64240,0.00019408,0
1466,443,40760,6,1412,64240,0.000001679,0
54,40760,443,6,0,59304,0.001119212,0
54,40772,443,6,0,65535,0.01277498,0
78,40772,443,6,24,65535,0.006167329,0
54,40772,443,6,0,65535,0.000335876,0
60,443,40772,6,0,64240,0.001187117,0
60,443,40772,6,0,64239,0.00000104,0
8526,443,40760,6,8472,64240,0.003075892,0
8526,443,40760,6,8472,64240,0.000000861,0
54,40760,443,6,0,65535,0.000086462,0
2878,443,40760,6,2824,64240,0.000280231,0
54,40760,443,6,0,65535,0.000069819,0
9938,443,40760,6,9884,64240,0.005279168,0
4290,443,40760,6,4236,64240,0.000000669,0
54,40760,443,6,0,65535,0.000163757,0
54,40760,443,6,0,65535,0.000652108,0
4290,443,40760,6,4236,64240,0.000010806,0
2878,443,40760,6,2824,64240,0.000189639,0
54,40760,443,6,0,65535,0.000070561,0
4290,443,40760,6,4236,64240,0.000227876,0
5702,443,40760,6,5648,64240,0.00000052,0
54,40760,443,6,0,65535,0.000029461,0
54,40760,443,6,0,65535,0.000108515,0
4290,443,40760,6,4236,64240,0.00431983,0
1466,443,40760,6,1412,64240,0.000001172,0
54,40760,443,6,0,65535,0.00008754,0
60,443,40772,6,0,64239,0.00704673,0
5702,443,40760,6,5648,64240,0.000000727,0
54,40772,443,6,0,8924,0.000043252,0
54,40760,443,6,0,65535,0.000098166,0
8526,443,40760,6,8472,64240,0.005252439,0
54,40760,443,6,0,65535,0.000102627,0
2878,443,40760,6,2824,64240,0.001103809,0
54,40760,443,6,0,65535,0.000118134,0
12762,443,40760,6,12708,64240,0.003269152,0
54,40760,443,6,0,65535,0.000080726,0
1466,443,40760,6,1412,64240,0.0002543,0
2878,443,40760,6,2824,64240,0.007220554,0
4290,443,40760,6,4236,64240,0.000000764,0
2878,443,40760,6,2824,64240,0.000000208,0
2878,443,40760,6,2824,64240,0.000000151,0
54,40760,443,6,0,65535,0.000098369,0
54,40760,443,6,0,65535,0.000213806,0
54,40760,443,6,0,65535,0.000250632,0
7114,443,40760,6,7060,64240,0.000043848,0
7114,443,40760,6,7060,64240,0.000000594,0
8526,443,40760,6,8472,64240,0.000051685,0
4290,443,40760,6,4236,64240,0.000000176,0
54,40760,443,6,0,65535,0.000153372,0
12762,443,40760,6,12708,64240,0.002353161,0
54,40760,443,6,0,65535,0.000531405,0
4290,443,40760,6,4236,64240,0.000268229,0
2878,443,40760,6,2824,64240,0.000000675,0
54,40760,443,6,0,65535,0.000939649,0
2878,443,40760,6,2824,64240,0.003698207,0
1466,443,40760,6,1412,64240,0.000001129,0
1466,443,40760,6,1412,64240,0.000000158,0
54,40760,443,6,0,65535,0.001773282,0
1466,443,40760,6,1412,64240,0.000249275,0
1466,443,40760,6,1412,64240,0.000000492,0
1466,443,40760,6,1412,64240,0.000000206,0
2878,443,40760,6,2824,64240,0.000000145,0
2878,443,40760,6,2824,64240,0.00000014,0
2878,443,40760,6,2824,64240,0.000000137,0
2878,443,40760,6,2824,64240,0.000182869,0
54,40760,443,6,0,65535,0.000004526,0
2878,443,40760,6,2824,64240,-0.00000339,0
54,40760,443,6,0,65535,0.000178495,0
2878,443,40760,6,2824,64240,0.003133132,0
54,40760,443,6,0,65535,0.000076118,0
2878,443,40760,6,2824,64240,0.004225445,0
4290,443,40760,6,4236,64240,0.000001385,0
54,40760,443,6,0,65535,0.001681154,0
1466,443,40760,6,1412,64240,0.000393186,0
1466,443,40760,6,1412,64240,0.000425806,0
54,40760,443,6,0,65535,0.000072442,0
2878,443,40760,6,2824,64240,0.003960501,0
1466,443,40760,6,1412,64240,0.0000008,0
